player_ranking,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,opponent_name,match_win_loss,match_score
13,2001,US Open,"New York, NY, U.S.A.",2001.08.27 - 2001.09.09,Outdoor,Hard,Sjeng Schalken,W,64 75 76(3) 
13,2001,US Open,"New York, NY, U.S.A.",2001.08.27 - 2001.09.09,Outdoor,Hard,Robby Ginepri,W,62 75 61
13,2001,US Open,"New York, NY, U.S.A.",2001.08.27 - 2001.09.09,Outdoor,Hard,Lars Burgsmuller,W,64 64 64
14,2001,Gstaad,"Gstaad, Switzerland",2001.07.09 - 2001.07.15,Outdoor,Clay,Ivan Ljubicic,L,26 16
15,2001,Wimbledon,"London, England",2001.06.25 - 2001.07.08,Outdoor,Grass,Tim Henman,L,57 67(6) 62 67(6) 
15,2001,Wimbledon,"London, England",2001.06.25 - 2001.07.08,Outdoor,Grass,Pete Sampras,W,76(7) 57 64 67(2) 75
15,2001,Wimbledon,"London, England",2001.06.25 - 2001.07.08,Outdoor,Grass,Jonas Bjorkman,W,76(4) 63 76(2) 
15,2001,Wimbledon,"London, England",2001.06.25 - 2001.07.08,Outdoor,Grass,Xavier Malisse,W,63 75 36 46 63
15,2001,Wimbledon,"London, England",2001.06.25 - 2001.07.08,Outdoor,Grass,Christophe Rochus,W,62 63 62
15,2001,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2001.06.18 - 2001.06.24,Outdoor,Grass,Lleyton Hewitt,L,46 26
15,2001,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2001.06.18 - 2001.06.24,Outdoor,Grass,Raemon Sluiter,W,67(4) 64 64
15,2001,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2001.06.18 - 2001.06.24,Outdoor,Grass,John van Lottum,W,60 61
15,2001,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2001.06.18 - 2001.06.24,Outdoor,Grass,Antony Dupuis,W,76(3) 64
14,2001,Halle,"Halle, Germany",2001.06.11 - 2001.06.17,Outdoor,Grass,Patrick Rafter,L,64 67(6) 67(4) 
14,2001,Halle,"Halle, Germany",2001.06.11 - 2001.06.17,Outdoor,Grass,David Prinosil,W,76(8) 75
14,2001,Halle,"Halle, Germany",2001.06.11 - 2001.06.17,Outdoor,Grass,Albert Portas,W,67(4) 64 62
18,2001,Roland Garros,"Paris, France",2001.05.28 - 2001.06.10,Outdoor,Clay,Alex Corretja,L,57 46 57
18,2001,Roland Garros,"Paris, France",2001.05.28 - 2001.06.10,Outdoor,Clay,Wayne Arthurs,W,36 63 64 62
18,2001,Roland Garros,"Paris, France",2001.05.28 - 2001.06.10,Outdoor,Clay,David Sanchez,W,64 63 16 63
18,2001,Roland Garros,"Paris, France",2001.05.28 - 2001.06.10,Outdoor,Clay,Sargis Sargsian,W,46 36 62 64 97
18,2001,Roland Garros,"Paris, France",2001.05.28 - 2001.06.10,Outdoor,Clay,Stefano Galvani,W,63 63 63
18,2001,ATP Masters Series Hamburg,"Hamburg, Germany",2001.05.14 - 2001.05.20,Outdoor,Clay,Franco Squillari,L,36 46
18,2001,ATP Masters Series Rome,"Rome, Italy",2001.05.07 - 2001.05.13,Outdoor,Clay,Wayne Ferreira,L,67(4) 26
18,2001,ATP Masters Series Rome,"Rome, Italy",2001.05.07 - 2001.05.13,Outdoor,Clay,Marat Safin,W,46 64 76(5) 
18,2001,ATP Masters Series Rome,"Rome, Italy",2001.05.07 - 2001.05.13,Outdoor,Clay,Thomas Johansson,W,76(3) 46 76(5) 
22,2001,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2001.04.16 - 2001.04.22,Outdoor,Clay,Sebastien Grosjean,L,46 36
22,2001,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2001.04.16 - 2001.04.22,Outdoor,Clay,Arnaud Di Pasquale,W,61 62
22,2001,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2001.04.16 - 2001.04.22,Outdoor,Clay,Davide Sanguinetti,W,76(5) 76
22,2001,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2001.04.16 - 2001.04.22,Outdoor,Clay,Michael Chang,W,64 63
21,2001,FRA v SUI WG QF,Neuchatel,2001.04.02 - 2001.04.08,Indoor,Carpet,Arnaud Clement,W,64 36 76(5) 64
21,2001,FRA v SUI WG QF,Neuchatel,2001.04.02 - 2001.04.08,Indoor,Carpet,Nicolas Escude,L,46 76(1) 36 46
24,2001,ATP Masters Series Miami,"Miami, FL, U.S.A.",2001.03.19 - 2001.04.01,Outdoor,Hard,Patrick Rafter,L,36 16
24,2001,ATP Masters Series Miami,"Miami, FL, U.S.A.",2001.03.19 - 2001.04.01,Outdoor,Hard,Thomas Johansson,W,76(3) 57 76(7) 
24,2001,ATP Masters Series Miami,"Miami, FL, U.S.A.",2001.03.19 - 2001.04.01,Outdoor,Hard,Mark Philippoussis,W,36 76(4) 62
24,2001,ATP Masters Series Miami,"Miami, FL, U.S.A.",2001.03.19 - 2001.04.01,Outdoor,Hard,Younes El Aynaoui,W,62 62
21,2001,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2001.03.12 - 2001.03.18,Outdoor,Hard,Nicolas Kiefer,L,63 57 16
23,2001,Rotterdam,"Rotterdam, Netherlands",2001.02.19 - 2001.02.25,Indoor,Hard,Nicolas Escude,L,57 63 67(5) 
23,2001,Rotterdam,"Rotterdam, Netherlands",2001.02.19 - 2001.02.25,Indoor,Hard,Andrei Pavel,W,67(4) 64 60
23,2001,Rotterdam,"Rotterdam, Netherlands",2001.02.19 - 2001.02.25,Indoor,Hard,Alex Corretja,W,64 62
23,2001,Rotterdam,"Rotterdam, Netherlands",2001.02.19 - 2001.02.25,Indoor,Hard,Sebastien Grosjean,W,46 63 64
23,2001,Rotterdam,"Rotterdam, Netherlands",2001.02.19 - 2001.02.25,Indoor,Hard,Andrew Ilie,W,76(5) 61
23,2001,Marseille,"Marseille, France",2001.02.12 - 2001.02.18,Indoor,Hard,Yevgeny Kafelnikov,L,76(4) 46 46
23,2001,Marseille,"Marseille, France",2001.02.12 - 2001.02.18,Indoor,Hard,Michel Kratochvil,W,64 76(4) 
23,2001,Marseille,"Marseille, France",2001.02.12 - 2001.02.18,Indoor,Hard,Bob Bryan,W,76(1) 63
23,2001,Marseille,"Marseille, France",2001.02.12 - 2001.02.18,Indoor,Hard,Cyril Saulnier,W,76(7) 64
22,2001,SUI v USA WG Rd 1,"Basel, Switzerland",2001.02.05 - 2001.02.11,Indoor,Hard,Jan-Michael Gambill,W,75 62 46 62
22,2001,SUI v USA WG Rd 1,"Basel, Switzerland",2001.02.05 - 2001.02.11,Indoor,Hard,Todd Martin,W,64 76(3) 46 61
27,2001,Milan,"Milan, Italy",2001.01.29 - 2001.02.04,Indoor,Carpet,Julien Boutter,W,64 67(7) 64
27,2001,Milan,"Milan, Italy",2001.01.29 - 2001.02.04,Indoor,Carpet,Yevgeny Kafelnikov,W,62 67(4) 63
27,2001,Milan,"Milan, Italy",2001.01.29 - 2001.02.04,Indoor,Carpet,Goran Ivanisevic,W,64 64
27,2001,Milan,"Milan, Italy",2001.01.29 - 2001.02.04,Indoor,Carpet,Cyril Saulnier,W,26 63 64
27,2001,Milan,"Milan, Italy",2001.01.29 - 2001.02.04,Indoor,Carpet,Rainer Schuettler,W,63 64
29,2001,Australian Open,"Melbourne, Australia",2001.01.15 - 2001.01.28,Outdoor,Hard,Arnaud Clement,L,67(5) 46 46
