player_ranking,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,opponent_name,match_win_loss,match_score
3,2003,Vienna,"Vienna, Austria",2003.10.06 - 2003.10.12,Indoor,Hard,Carlos Moya,W,63 63 63
3,2003,Vienna,"Vienna, Austria",2003.10.06 - 2003.10.12,Indoor,Hard,Max Mirnyi,W,62 76(2) 
3,2003,Vienna,"Vienna, Austria",2003.10.06 - 2003.10.12,Indoor,Hard,Jarkko Nieminen,W,63 63
3,2003,Vienna,"Vienna, Austria",2003.10.06 - 2003.10.12,Indoor,Hard,Karol Beck,W,63 46 64
3,2003,Vienna,"Vienna, Austria",2003.10.06 - 2003.10.12,Indoor,Hard,David Ferrer,W,62 62
3,2003,AUS v. SUI WG SF,"Melbourne, Australia",2003.09.15 - 2003.09.21,Outdoor,Hard,Lleyton Hewitt,L,75 62 67(4) 57 16
3,2003,AUS v. SUI WG SF,"Melbourne, Australia",2003.09.15 - 2003.09.21,Outdoor,Hard,Mark Philippoussis,W,63 64 76(3) 
2,2003,US Open,"New York, NY, U.S.A.",2003.08.25 - 2003.09.07,Outdoor,Hard,David Nalbandian,L,63 67(1) 46 36
2,2003,US Open,"New York, NY, U.S.A.",2003.08.25 - 2003.09.07,Outdoor,Hard,James Blake,W,63 76(4) 63
2,2003,US Open,"New York, NY, U.S.A.",2003.08.25 - 2003.09.07,Outdoor,Hard,Jean-Rene Lisnard,W,61 62 60
2,2003,US Open,"New York, NY, U.S.A.",2003.08.25 - 2003.09.07,Outdoor,Hard,Jose Acasuso,W,57 63 63 20 (RET)
